request_id,timestamp,lat,lon,status,passenger_rating
1,2026-08-18 11:53:46,-23.563584,-46.655163,COMPLETED,4.5
2,2026-08-18 21:59:25,-23.583788,-46.678932,COMPLETED,3.9
3,2026-08-18 09:47:37,-23.567301,-46.701695,COMPLETED,4.9
4,2026-08-18 03:22:33,-23.581950,-46.676096,COMPLETED,4.4
5,2026-08-18 23:09:35,-23.572793,-46.698904,COMPLETED,3.8
6,2026-08-18 08:01:43,-23.564708,-46.710434,COMPLETED,4.2
7,2026-08-18 18:33:49,-23.595316,-46.661040,COMPLETED,4.6
8,2026-08-18 08:08:42,-23.556527,-46.662213,CANCELLED,4.5
9,2026-08-18 07:01:06,-23.587036,-46.674493,COMPLETED,4.9
10,2026-08-18 02:10:29,-23.553046,-46.640200,COMPLETED,4.3
11,2026-08-18 14:07:20,-23.598569,-46.661775,COMPLETED,4.2
12,2026-08-18 06:35:23,-23.557869,-46.652963,NO_DRIVERS_AVAILABLE,3.9
13,2026-08-18 18:53:49,-23.588830,-46.679605,NO_DRIVERS_AVAILABLE,3.8
14,2026-08-18 16:56:23,-23.589917,-46.681846,NO_DRIVERS_AVAILABLE,3.8
15,2026-08-18 20:15:50,-23.598391,-46.665330,COMPLETED,4.4
16,2026-08-18 14:18:33,-23.599258,-46.656725,COMPLETED,4.5
17,2026-08-18 15:58:31,-23.588490,-46.681584,COMPLETED,3.8
18,2026-08-18 18:18:51,-23.584487,-46.673695,CANCELLED,4.0
19,2026-08-18 13:36:09,-23.544278,-46.639299,CANCELLED,4.3
20,2026-08-18 05:55:26,-23.570396,-46.701494,COMPLETED,4.2
21,2026-08-18 00:46:56,-23.585972,-46.677343,COMPLETED,4.3
22,2026-08-18 22:27:15,-23.587734,-46.679100,COMPLETED,3.9
23,2026-08-18 06:52:27,-23.544523,-46.641594,COMPLETED,4.1
24,2026-08-18 09:06:22,-23.557983,-46.655974,COMPLETED,4.8
25,2026-08-18 10:22:38,-23.572279,-46.699415,CANCELLED,4.0
26,2026-08-18 14:03:13,-23.567239,-46.704725,COMPLETED,4.1
27,2026-08-18 15:09:22,-23.568891,-46.703885,COMPLETED,3.6
28,2026-08-18 07:48:48,-23.600341,-46.660358,COMPLETED,4.5
29,2026-08-17 23:53:41,-23.590380,-46.675094,COMPLETED,4.2
30,2026-08-18 17:21:28,-23.549413,-46.646105,NO_DRIVERS_AVAILABLE,4.8
31,2026-08-18 02:10:20,-23.566366,-46.703374,COMPLETED,4.0
32,2026-08-18 05:49:35,-23.582601,-46.680173,COMPLETED,3.5
33,2026-08-18 07:15:14,-23.585445,-46.681611,COMPLETED,3.9
34,2026-08-18 00:15:10,-23.589940,-46.679527,COMPLETED,4.6
35,2026-08-18 08:51:40,-23.604198,-46.658855,COMPLETED,3.8
36,2026-08-18 14:22:47,-23.563729,-46.657885,COMPLETED,4.9
37,2026-08-18 19:57:51,-23.548951,-46.640706,COMPLETED,3.7
38,2026-08-18 05:25:37,-23.545107,-46.636860,COMPLETED,4.9
39,2026-08-18 14:45:52,-23.557444,-46.649533,NO_DRIVERS_AVAILABLE,3.6
40,2026-08-18 08:53:27,-23.567763,-46.655589,COMPLETED,3.6
41,2026-08-18 03:18:28,-23.555578,-46.657829,CANCELLED,4.5
42,2026-08-18 10:34:37,-23.603175,-46.666026,COMPLETED,4.1
43,2026-08-18 21:51:17,-23.554910,-46.640272,COMPLETED,4.2
44,2026-08-18 16:51:53,-23.601452,-46.660927,COMPLETED,4.8
45,2026-08-18 09:20:20,-23.544556,-46.643517,COMPLETED,4.0
46,2026-08-18 17:24:30,-23.595535,-46.680839,COMPLETED,4.4
47,2026-08-18 19:02:25,-23.540144,-46.576487,COMPLETED,4.4
48,2026-08-18 12:31:21,-23.603976,-46.663213,COMPLETED,4.0
49,2026-08-18 22:44:08,-23.592666,-46.679459,COMPLETED,4.6
50,2026-08-18 20:11:19,-23.562087,-46.665317,COMPLETED,4.8
51,2026-08-18 18:25:45,-23.581421,-46.677032,NO_DRIVERS_AVAILABLE,3.7
52,2026-08-18 00:34:03,-23.543856,-46.582496,COMPLETED,4.7
53,2026-08-18 11:28:13,-23.571778,-46.701339,COMPLETED,3.8
54,2026-08-17 23:57:24,-23.584594,-46.673523,CANCELLED,3.7
55,2026-08-18 01:54:58,-23.542071,-46.570053,COMPLETED,4.8
56,2026-08-18 00:02:42,-23.590957,-46.685606,NO_DRIVERS_AVAILABLE,3.6
57,2026-08-18 13:15:23,-23.582706,-46.685119,COMPLETED,4.9
